Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
3.20724	Src2	0	259	FullDelay	0.617235	617235	1	1
3.20963	Src1	0	238	LastDelay	0.82963	829630	1	1
3.20963	Src1	0	238	FullDelay	0.82963	829630	1	1
3.21924	Src1	0	260	LastDelay	0.619235	619235	1	1
3.21924	Src1	0	260	FullDelay	0.619235	619235	1	1
3.22163	Src2	0	241	LastDelay	0.81163	811630	1	1
3.22163	Src2	0	241	FullDelay	0.81163	811630	1	1
3.23244	Src2	0	260	LastDelay	0.632435	632435	1	1
3.23244	Src2	0	260	FullDelay	0.632435	632435	1	1
3.23363	Src1	0	247	LastDelay	0.76363	763630	1	1
3.23363	Src1	0	247	FullDelay	0.76363	763630	1	1
3.24444	Src1	0	261	LastDelay	0.634435	634435	1	1
3.24444	Src1	0	261	FullDelay	0.634435	634435	1	1
3.24567	Src1	0	248	LastDelay	0.765666	765666	1	1
3.24567	Src1	0	248	FullDelay	0.765666	765666	1	1
3.25644	Src2	0	261	LastDelay	0.646435	646435	1	1
3.25644	Src2	0	261	FullDelay	0.646435	646435	1	1
3.25883	Src2	0	251	LastDelay	0.74883	748830	1	1
3.25883	Src2	0	251	FullDelay	0.74883	748830	1	1
3.26964	Src2	0	263	LastDelay	0.639635	639635	1	1
3.26964	Src2	0	263	FullDelay	0.639635	639635	1	1
3.27083	Src1	0	251	LastDelay	0.76083	760830	1	1
3.27083	Src1	0	251	FullDelay	0.76083	760830	1	1
3.28164	Src1	0	263	LastDelay	0.651635	651635	1	1
3.28164	Src1	0	263	FullDelay	0.651635	651635	1	1
3.28283	Src2	0	250	LastDelay	0.78283	782830	1	1
3.28283	Src2	0	250	FullDelay	0.78283	782830	1	1
3.29484	Src1	0	264	LastDelay	0.654835	654835	1	1
3.29484	Src1	0	264	FullDelay	0.654835	654835	1	1
3.29607	Src1	0	255	LastDelay	0.746066	746066	1	1
3.29607	Src1	0	255	FullDelay	0.746066	746066	1	1
3.30804	Src2	0	266	LastDelay	0.648035	648035	1	1
3.30804	Src2	0	266	FullDelay	0.648035	648035	1	1
